site,population,population_order,population_color,date,participant_count
Clinical Site 01,Screened,1,#a6bddb,2015-04-02,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-03,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-04,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-05,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-06,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-07,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-08,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-09,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-10,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-11,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-12,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-13,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-14,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-15,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-16,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-17,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-18,8
Clinical Site 01,Screened,1,#a6bddb,2015-04-19,8
Clinical Site 01,Screened,1,#a6bddb,2015-04-20,8
Clinical Site 01,Screened,1,#a6bddb,2015-04-21,8
Clinical Site 01,Screened,1,#a6bddb,2015-04-22,8
Clinical Site 01,Screened,1,#a6bddb,2015-04-23,9
Clinical Site 01,Screened,1,#a6bddb,2015-04-24,10
Clinical Site 01,Screened,1,#a6bddb,2015-04-25,10
Clinical Site 01,Screened,1,#a6bddb,2015-04-26,10
Clinical Site 01,Screened,1,#a6bddb,2015-04-27,10
Clinical Site 01,Screened,1,#a6bddb,2015-04-28,11
Clinical Site 01,Screened,1,#a6bddb,2015-04-29,11
Clinical Site 01,Screened,1,#a6bddb,2015-04-30,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-01,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-02,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-03,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-04,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-05,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-06,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-07,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-08,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-09,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-10,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-11,11
Clinical Site 01,Screened,1,#a6bddb,2015-05-12,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-13,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-14,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-15,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-16,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-17,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-18,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-19,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-20,12
Clinical Site 01,Screened,1,#a6bddb,2015-05-21,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-22,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-23,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-24,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-25,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-26,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-27,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-28,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-29,13
Clinical Site 01,Screened,1,#a6bddb,2015-05-30,14
Clinical Site 01,Screened,1,#a6bddb,2015-05-31,14
Clinical Site 01,Screened,1,#a6bddb,2015-06-01,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-02,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-03,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-04,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-05,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-06,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-07,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-08,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-09,15
Clinical Site 01,Screened,1,#a6bddb,2015-06-10,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-11,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-12,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-13,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-14,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-15,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-16,16
Clinical Site 01,Screened,1,#a6bddb,2015-06-17,17
Clinical Site 01,Screened,1,#a6bddb,2015-06-18,17
Clinical Site 01,Screened,1,#a6bddb,2015-06-19,17
Clinical Site 01,Screened,1,#a6bddb,2015-06-20,17
Clinical Site 01,Screened,1,#a6bddb,2015-06-21,17
Clinical Site 01,Screened,1,#a6bddb,2015-06-22,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-23,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-24,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-25,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-26,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-27,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-28,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-29,18
Clinical Site 01,Screened,1,#a6bddb,2015-06-30,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-01,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-02,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-03,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-04,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-05,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-06,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-07,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-08,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-09,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-10,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-11,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-12,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-13,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-14,18
Clinical Site 01,Screened,1,#a6bddb,2015-07-15,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-16,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-17,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-18,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-19,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-20,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-21,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-22,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-23,19
Clinical Site 01,Screened,1,#a6bddb,2015-07-24,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-25,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-26,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-27,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-28,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-29,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-30,20
Clinical Site 01,Screened,1,#a6bddb,2015-07-31,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-01,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-02,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-03,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-04,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-05,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-06,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-07,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-08,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-09,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-10,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-11,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-12,20
Clinical Site 01,Screened,1,#a6bddb,2015-08-13,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-14,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-15,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-16,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-17,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-18,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-19,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-20,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-21,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-22,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-23,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-24,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-25,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-26,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-27,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-28,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-29,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-30,21
Clinical Site 01,Screened,1,#a6bddb,2015-08-31,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-01,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-02,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-03,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-04,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-05,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-06,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-07,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-08,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-09,21
Clinical Site 01,Screened,1,#a6bddb,2015-09-10,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-11,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-12,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-13,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-14,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-15,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-16,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-17,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-18,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-19,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-20,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-21,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-22,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-23,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-24,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-25,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-26,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-27,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-28,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-29,22
Clinical Site 01,Screened,1,#a6bddb,2015-09-30,22
Clinical Site 01,Screened,1,#a6bddb,2015-10-01,23
Clinical Site 01,Screened,1,#a6bddb,2015-10-02,23
Clinical Site 01,Screened,1,#a6bddb,2015-10-03,23
Clinical Site 01,Screened,1,#a6bddb,2015-10-04,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-05,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-06,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-07,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-08,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-09,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-10,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-11,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-12,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-13,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-14,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-15,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-16,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-17,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-18,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-19,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-20,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-21,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-22,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-23,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-24,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-25,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-26,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-27,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-28,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-29,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-30,25
Clinical Site 01,Screened,1,#a6bddb,2015-10-31,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-01,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-02,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-03,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-04,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-05,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-06,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-07,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-08,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-09,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-10,25
Clinical Site 01,Screened,1,#a6bddb,2015-11-11,26
Clinical Site 01,Screened,1,#a6bddb,2015-11-12,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-13,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-14,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-15,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-16,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-17,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-18,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-19,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-20,27
Clinical Site 01,Screened,1,#a6bddb,2015-11-21,28
Clinical Site 01,Screened,1,#a6bddb,2015-11-22,28
Clinical Site 01,Screened,1,#a6bddb,2015-11-23,28
Clinical Site 01,Screened,1,#a6bddb,2015-11-24,28
Clinical Site 01,Screened,1,#a6bddb,2015-11-25,29
Clinical Site 01,Screened,1,#a6bddb,2015-11-26,29
Clinical Site 01,Screened,1,#a6bddb,2015-11-27,29
Clinical Site 01,Screened,1,#a6bddb,2015-11-28,29
Clinical Site 01,Screened,1,#a6bddb,2015-11-29,29
Clinical Site 01,Screened,1,#a6bddb,2015-11-30,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-01,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-02,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-03,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-04,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-05,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-06,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-07,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-08,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-09,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-10,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-11,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-12,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-13,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-14,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-15,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-16,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-17,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-18,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-19,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-20,29
Clinical Site 01,Screened,1,#a6bddb,2015-12-21,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-22,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-23,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-24,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-25,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-26,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-27,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-28,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-29,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-30,30
Clinical Site 01,Screened,1,#a6bddb,2015-12-31,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-01,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-02,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-03,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-04,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-05,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-06,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-07,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-08,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-09,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-10,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-11,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-12,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-13,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-14,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-15,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-16,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-17,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-18,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-19,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-20,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-21,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-22,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-23,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-24,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-25,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-26,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-27,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-28,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-29,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-30,30
Clinical Site 01,Screened,1,#a6bddb,2016-01-31,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-01,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-02,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-03,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-04,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-05,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-06,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-07,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-08,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-09,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-10,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-11,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-12,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-13,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-14,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-15,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-16,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-17,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-18,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-19,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-20,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-21,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-22,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-23,30
Clinical Site 01,Screened,1,#a6bddb,2016-02-24,30
Clinical Site 01,Randomized,2,#3690c0,2015-01-01,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-02,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-03,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-04,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-05,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-06,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-07,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-08,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-09,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-10,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-11,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-12,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-13,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-14,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-15,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-16,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-17,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-18,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-19,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-20,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-21,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-22,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-23,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-24,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-25,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-26,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-27,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-28,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-29,0
Clinical Site 01,Randomized,2,#3690c0,2015-01-30,0
